id,query,answer_ids
5672,What are the current solid-state drugs that primarily target the CELA1 gene/protein for interaction?,"[19777, 19778, 19779, 19780, 19781, 19782, 19783, 19784, 19785, 19786, 19787, 19788, 19789, 19790, 15823, 17113, 17114]"
7623,Search for conditions that lack any approved treatments and have a known link to Palmar pits.,[27573]
6479,Which genes or proteins have documented interactions with both transferrin receptor (TFRC) and galectin-3? Do these interacting molecules share any associated common effects or phenotypic manifestations?,[282]
4854,"Could my symptoms of joint pain, abnormal skin appearance, breathing difficulties, heart irregularities, and circulatory changes be linked to a hereditary disease associated with germ cell tumors of the vulva?",[98881]
9462,"What is the mechanism of interaction between the gene/protein responsible for the downregulation of autophagy and type I interferon signaling pathways, and the elements of the IPAF inflammasome complex?",[1701]
8638,Which cellular structures are involved in interactions with genes or proteins influenced by D-Methionine?,"[56241, 56436, 56263]"
9506,"Identify a gene or protein with an interaction profile that includes BMP15, ensuring both are linked to a common pathological condition.",[3255]
8594,Do drugs prescribed for diabetic retinopathy have conjunctivitis listed as a contraindication due to its inflammatory effects on the conjunctiva?,"[37641, 33581]"
4507,Can you assist in identifying a drug used to treat acute myeloid leukemia in adults that may also have Non-Hodgkin lymphoma as a possible side effect?,[15149]
2490,"Which medication treats Paget's disease of bone, has a half-life between 21 and 35 hours, and prevents bone breakdown by blocking osteoclast activity?",[17727]
6556,"Please identify a gene or protein with expression localized to the nasopharynx but not the thymus, which is also found to be upregulated across multiple cancer types and has been linked to the advancement and spread of these malignancies.","[6910, 12007]"
5639,"Hello, I'm struggling with concentration and staying alert during work or study, which may be related to ADD as suggested by my doctor. I need a medication that aids in focus but is also gentle on the stomach. Can you recommend suitable options?","[15074, 17315, 14148, 15173, 15174, 16855]"
4463,Could you help me find medications indicated for chronic open-angle glaucoma that may reduce intraocular pressure but also have the potential side effect of causing cardiac arrhythmias?,"[15105, 15491, 15779, 15849, 16843, 16847, 15155, 15095, 15483]"
6432,Could you describe the specific effects or phenotypes associated with disuse amblyopia subtype?,[22400]
2988,"Which conditions associated with the RP1L1 gene should be evaluated in individuals with a genetic predisposition, particularly as potential specialized types of macular degeneration?",[27543]
7668,Identify proteins or genes that interact with EPB41 and share a common associated phenotype or effect.,[4979]
1453,"What potential medical conditions could I have that are associated with beta-thalassemia, involve abnormal hemoglobin, and cause persistent mild fatigue, considering my family history?","[33424, 33418, 33422]"
2658,Can you list diseases under benign urethral neoplasm featuring noticeable papillary formations on the epithelium?,[37368]
5595,What disease is marked by Verrucae and has a connection to the STK4 gene/protein?,[29162]
3402,"What could be the connection between my hereditary biogenic amine metabolism and transport disorder, my recurring seizures, and a disruption in my gamma-aminobutyric acid levels?",[35809]
10710,Which biological process shares a similar interaction pattern with genes or proteins to that of peptidyl-arginine ADP-ribosylation?,"[110123, 39923, 41124]"
1537,"As a physician, I need to know which diseases are considered secondary to Epstein-Barr virus-associated lymphoproliferative disorders, especially those occurring in immunocompromised patients following organ or bone marrow transplants, presenting with lymphoid or plasmacytic growths in different areas of the body.",[84332]
10674,"Which disorders are linked to GRIA4 gene mutations, show contraindications for the use of Dihydrocodeine, and potentially lead to substance use disorders?","[30035, 36693]"
3566,Can you find genes or proteins linked to neurotic disorders that also interact with the serotonin receptor pathway and activate MAP kinases p44 and p42 via their splice variants?,[12236]
3747,"Could you pinpoint a medical condition that has connections to craniofacial anomalies as well as features of intellectual disability, brachydactyly, and Pierre Robin syndrome, generally presenting with high fever, chronic fatigue, and musculoskeletal pain?",[38845]
10455,"Which cellular structures are involved in interactions with genes or proteins that are affected by the compound 5-Chloro-N-((1R,2S)-2-(4-(2-oxopyridin-1(2H)-yl)benzamido)cyclopentyl)thiophene-2-carboxamide?","[56263, 56075, 56174, 55762, 56117, 124245]"
10829,"I seek a pathway that intersects with events induced by Calmodulin and involves a gene or protein capable of interaction with Calmodulin. Additionally, the pathway should modulate calcium signaling via Calmodulin's regulatory role. Identifying such a pathway will enhance our understanding of the molecular mechanisms governing calcium signaling through Calmodulin interactions.","[127625, 62355]"
1716,What are the rare diseases classified as subtypes or closely related to pontocerebellar hypoplasia in the latest medical disease classification?,[39087]
2961,What are the symptoms associated with diseases categorized under angiosarcoma?,"[37416, 99145, 36779, 32589, 36078, 95887, 96623, 95892, 96084, 96086, 96087, 96088, 96089, 96091, 96093, 96094, 96095]"
7681,"Could you identify the rapid-action medication that is metabolized by certain genes or proteins, which are active during embryonic development, especially considering this medication possesses an exceedingly brief half-life, not exceeding three seconds?","[14585, 14634]"
10531,"Is there a list of diseases with no known drug treatments, linked to aberrant autonomic nervous system functioning, that lead to the accumulation of gelsolin amyloid deposits in the cornea, nervous tissue, and skin?",[27413]
3623,"What is the name of the rare tumor similar to teratoma, often found incidentally during examinations for other conditions?",[96268]
2479,"Could you assist in identifying familial syndromic lymphedema associated with joint stiffness, hypotonia impacting mobility, and dysphagia?",[29369]
2805,Is there an inheritable disease linked to cerebrovascular issues that could pertain to my health concerns?,[97425]
1672,Could you list potential spinal cord diseases that could cause mild to moderate symptoms in the upper respiratory tract?,[95921]
4992,Please find a disease-related biological pathway that interacts with the CDC37 gene/protein.,"[129272, 129273, 129271, 128727, 129274, 128728, 129267, 129268, 129269, 127670, 127671, 127672, 127673, 127674, 127675, 129270]"
7449,Search for a metabolic pathway involved in the breakdown of cysteine and homocysteine where both substrates interact with a common gene or protein.,[127811]
5864,Which chromatin remodeling-associated gene or protein is known to interact with PTP4A1 and has been linked to the same medical condition as PTP4A1?,"[178, 492]"
6613,Identify common gene targets between the compound Fx-1006A and porcine thyroid tissue.,[111]
4642,Can you list diseases related to familial dysalbuminemic hyperthyroxinemia that also have elevated thyroxine levels in the blood?,"[36034, 38316]"
7835,Which anatomical structures lack the expression of genes or proteins linked to Hemiplegia?,[63824]
5418,What drugs currently target the HSD17B4 enzyme for interaction?,[17131]
3897,Could you help me identify any disorders that could be considered derivatives or subsets of the one associated with sexual feelings and behaviors?,[84296]
6777,"Which gene or protein, responsible for crosslinking and organizing actin filaments into tightly packed parallel bundles, is present in the nasopharyngeal tissue but not expressed in the tubular structures of the nephron?",[6777]
5900,Identify genes or proteins that interact with ADORA1 and share an associated phenotype or effect.,[2493]
7951,Which renal conditions would preclude the administration of standard medications for treating widespread sporotrichosis?,"[35764, 33679]"
4726,Can you find experimental drugs that target SHBG and enhance Infliximab's effectiveness when used together?,"[17552, 14065, 14058]"
9993,What are the observed effects or phenotypes associated with squamous cell carcinoma specific to the nasal cavity subtype?,"[24228, 26180]"
8901,Which genes or proteins involved in muscle structure and function have interactions with those implicated in lactose production?,"[3200, 2465, 2972, 1845]"
9727,Which cellular structures interact with the genes or proteins that are affected by the antibiotic Virginiamycin S1?,"[55754, 56436, 127389, 126834]"
8865,"I am looking for a gene or protein that plays a role in ribosomal operations and has an interaction with the protein RPL23. It should be linked to a disorder common with RPL23, and its absence should be a known cause of Diamond-Blackfan anemia. Which gene or protein fits these criteria?","[2496, 2977, 4933, 59, 717, 1518, 6384, 4789, 2137, 827, 1948, 349, 5054, 7423]"
8419,"Which gene or protein, known to play a role in the negative regulation of the canonical Wnt signaling pathway, is not expressed in either the vermiform appendix or the biceps brachii muscle?",[57810]
9643,I am seeking information on a gene or protein that satisfies the following criteria: it should physically interact with NDUFS6; be linked to the same pathology as NDUFS6; and act as an auxiliary component involved in electron transport within the mitochondrial respiratory chain Complex I. Can anyone recommend a candidate that fulfills these specific conditions?,"[2701, 1935, 3878, 2854, 41, 3625, 6187, 7475, 1077, 9300, 1365, 7640, 7516, 2788, 2794, 6262, 35063, 2938, 5630, 4991]"
1595,Could you provide a list of medications that are compatible with Ormeloxifene for treating a respiratory infection?,[20210]
6658,"What is the name of a supplement influenced by genetic or protein activity that can assist in the management of vitamin E deficiency, and is known to interact with lysosomal membranes?","[14109, 14110]"
7402,Which anatomical structures lack the expression of genes or proteins typically linked to endocardial fibrosis?,"[63235, 63680, 63921, 66747, 66747, 63235, 67302]"
5453,"What are the diseases associated with the NGLY1 gene, and what clinical outcomes does this link entail?",[30467]
210,What type of dermatitis or similar skin condition is treatable with Triamcinolone?,[32619]
4609,What is the gene or protein that facilitates VxPx cargo targeting to cilia and is also associated with polycystic kidney disease pathogenesis?,[5188]
7566,Which cellular structures engage in interactions with genes or proteins that are affected by the compound N-Hydroxy-4-Phosphono-Butanamide?,"[126196, 56073, 56436, 124245]"
374,"Is it possible that my symptoms of stomach pain, nausea, vomiting, and diarrhea are indicative of a gastrointestinal worm infection similar to what my parent experienced?","[35571, 97924]"
5537,What disease is associated with both the CACNA1C gene and the symptom of microdontia?,[31177]
2556,What is the name of the limb disorder subtype associated with a higher risk of ulnar fractures?,[39826]
6490,Which liver condition could preclude the administration of medications for secondary aneurysmal subarachnoid hemorrhage based on its detrimental impact on hepatic function?,"[35961, 35565]"
10862,"Which gene or protein, being an anticipated component of the integral membrane, has a functional interaction with the gene or protein that is implicated in Episodic Ataxia Type 6 (EA6) due to mutations in SLC1A3?","[9664, 4586, 3903, 10279]"
2432,"Which gene or protein, involved in mRNA silencing and melanoma development, also functions within the extracellular space?",[34544]
3668,"Which genes or proteins interact with the ""Regulation of HSF1-mediated heat shock response"" pathway and also engage in protein-protein interactions with PRNP?",[2152]
6988,What are the common gene targets for both Chromium gluconate and Chromous sulfate?,[4003]
10906,"Can you identify any medications that, when used in combination with Bimatoprost, enhance its effectiveness in lowering intraocular pressure for patients diagnosed with open-angle glaucoma or ocular hypertension, and that are also approved for treating these conditions as Bimatoprost is?","[15105, 15779, 15079, 15156, 14677, 15095, 17434, 17435, 17436]"
1639,"Is it possible that my persistent anxiousness and gastrointestinal distress are symptoms of a condition akin to anxiety, treatable with Linaclotide or a related medication?",[83977]
8536,Which pharmaceutical compounds share a similar gene or protein transporter with Hydroxocobalamin?,[14106]
9608,Which anatomical structures lack the expression of genes or proteins implicated in the condition of short stature?,"[66747, 66747, 64876, 68618, 63824, 66747]"
8452,Which medication is designed to act on gene or protein interactions associated with peptidase activator activity and necessitates administration via deep intramuscular injection?,[19556]
9354,"Could you please help identify the specific gene or protein which acts in the sonic hedgehog pathway as a regulator of GLI transcription factors and is linked to ciliary function, but notably is not expressed in the corpus callosum or deltoid muscle?",[11357]
88,What condition related to syphilis might necessitate treatment using Procaine benzylpenicillin for a patient?,[84178]
9230,Search for medical conditions that have no drugs indicated for treatment and are linked to the phenotype of elevated earlobes.,[27809]
1365,What condition is associated with mutations in the SLCO2A1 gene?,[27982]
10026,"What are the common genetic targets for the compounds 4-(1,3-Benzoxazol-2-yl)-2,6-dibromophenol and 1-Naphthylamine-5-sulfonic acid?",[111]
3334,Could you suggest some medications prescribed by physicians for managing photosensitivity?,[20378]
7396,Could you assist me in identifying a pharmaceutical compound which shares a gene or protein transport mechanism with Tenofovir and possesses an elimination half-life between seven to nine days?,"[14408, 14476, 14444, 14477]"
1201,"What ailment falls under leukoencephalopathy with vanishing white matter, features fever, cough, and shortness of breath, and stems from the SARS-CoV-2 virus?",[97984]
3250,Can you give me a list of diseases linked to dystonia that are known to cause atypical outcomes during childbirth?,[32878]
10142,What phenotypic manifestation or effect is associated with the subtype of topographical agnosia?,[33758]
584,What disease associated with LMNA gene mutations falls under heart conduction disorders and presents with symptoms of bradycardia and extended P wave intervals on an EKG?,"[84321, 33586]"
4231,"What's the disease classified under both kidney benign neoplasm and renal pelvis neoplasm, specifically affecting the renal pelvis?",[37239]
628,Can you compile a list of drugs that target the CCR4 gene or its protein product and are used to treat mature T-cell and NK-cell non-Hodgkin lymphomas?,[20194]
6260,Which renal disorder involving tubular malfunction serves as a disallowance for the medications prescribed for Gaucher's disease?,[36253]
4355,Which gene or protein facilitates the symbiotic interaction within the pathway that inserts viral DNA into the host genome and possesses the ability to bind nonspecifically to double-stranded DNA?,[8761]
3098,What is the common ancestor or descendant pathway to both 'TGF-beta receptor signaling activates SMADs' and 'Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer' in the network?,[62503]
6304,Find health conditions linked to the CSMD3 gene that should not be treated with Rosiglitazone.,[30035]
8145,Search for diseases lacking approved treatments and linked to dentin abnormalities.,[27319]
8021,Which gene or protein is consistently unexpressed in both the fallopian tube and synovial membrane tissues?,[34036]
663,"Can you find genes or proteins that interact with the inner kinetochore, play a role in regulating cell cycle and apoptosis in osteosarcoma cells, and are part of the MCM12 centromere complex?",[11382]
5020,Identify genes or proteins that engage with the TP53 transcriptional regulation pathway in relation to cytochrome C release and also exhibit DNA-binding transcription factor activity specific to RNA polymerase II.,[10605]
7071,Which medication shares a typical gene or protein transporter with Nabumetone and obstructs the reuptake of sodium and chloride by blocking the Na+/Cl- cotransporter located in the cortical diluting segment of the loop of Henle's ascending limb?,"[14240, 14276, 14152, 14217, 14257, 14133, 14331]"
2289,"Please find a gene or protein that interacts with the Neutrophil degranulation pathway, is connected to X-linked intellectual disability, and acts as an E3 ubiquitin-protein ligase for p53, core histones, and DNA polymerase beta.",[5719]
5144,What gene or protein associates with non-syndromic polydactyly and also interacts with AKT to inhibit the FOXO1A signaling pathway?,[5589]
707,Can you give me a rundown of medications that primarily target interactions with the PPP2R2A gene or the protein it produces?,[19276]
7115,Find health conditions linked to the gene RHOC that should not be managed with the drug Medroxyprogesterone acetate.,[36187]
1082,"What is the name of the pediatric condition associated with the APOA1 gene that causes severe reduction of high-density lipoproteins in blood and is marked by enlarged liver and spleen, swollen lymph nodes, oversized tonsils, nerve issues, and possible heart complications in adults?",[30143]
2125,"Please find a gene-protein involved in Striated Muscle Contraction via direct interactions, with actin filament binding ability and potential tropomyosin binding activity.","[7611, 331, 8821, 1751]"
6187,Which medications interact with genes or proteins in cartilage and are also used in managing blood glucose and energy balance for the treatment of diabetes?,"[14651, 17333, 16582, 15951]"
2041,Could you provide a list of medications effective for treating both acquired polycythemia vera and myelofibrosis?,[15597]
10109,"Identify the biological pathway involving Erythropoietin (EPO) activation of Phospholipase C gamma (PLCγ), where both EPO and PLCγ engage in interactions with a common gene or protein.",[62968]
4594,What disease is associated with proteinuria and linked to the APOL1 gene?,[29534]
3659,Which signaling pathway interacts with the ORC3 gene/protein and is hierarchically linked to the Switching of origins to a post-replicative state pathway?,[128870]
2403,"Can you find a signaling pathway involving the SHH gene/protein that triggers a phosphorylation-induced structural change at the C-terminal, reducing internal bonds and increasing the affinity between tails in a SMO homodimer?",[128718]
10937,Can you provide me with a list of medications that interact with genes or proteins found in the optic choroid and play a role in different cellular metabolism functions?,"[14584, 15908, 14679, 14680, 14490, 14012]"
1608,"Which diseases fall under the umbrella of acrocephalopolydactyly, sharing similar morphology or genetics?",[28844]
2567,"I'm dealing with persistent acne and looking for a treatment to alleviate the breakouts, reduce redness, and clear the pimples. Can you recommend a suitable medication?","[20257, 15809, 16741, 14670, 20496, 15696, 16276, 14229, 14262, 20377, 14268]"
10853,Which gene or protein is consistently not expressed in the mucosal tissues of both the lungs and the oral cavity?,[9976]
7557,"Which pharmaceutical agents, aimed at enhancing the primary energy production in living cells, interact with genetic components or proteins linked to galactoside binding and metabolic processes?",[15755]
345,What diseases are categorized as adenocarcinomas affecting the liver and biliary tract but have a primary origin outside the liver?,"[35979, 37508]"
5506,"What potential diseases or subtypes could I have that are linked to syndromic craniosynostosis and craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome, considering my family's medical history with similar conditions?",[38227]
3491,What is the sub-pathway of Eukaryotic Translation Initiation involving EIF3B that explains how L13a represses Ceruloplasmin translation?,[128929]
10783,Which anatomical structures exhibit expression of genes or proteins that impact the transportation of Ioflupane I-123?,"[64477, 64485]"
7433,Which medications act on the genetic or proteomic interactors involved in the enzymatic process of L-serine-phosphatidylcholine phosphatidyltransferase?,[16565]
3989,"Could you list the diseases related to vertebral artery insufficiency, highlighting the causes and differences in symptoms?",[95864]
6669,Which gene or protein is consistently not expressed in the pancreatic and adult mammalian renal tissues?,[10542]
4638,Can you pinpoint which gene or protein is linked to the glycogenolysis pathway in skeletal muscle and is involved in McArdle disease due to its mutations?,[2310]
5462,What disease is both related to ureter benign neoplasms and connected to the SULT1A1 gene or its protein product?,[35623]
221,What are the liquid drugs used for Richter syndrome that target MS4A1 and do not bind to plasma proteins?,[16230]
9595,Which body parts do not exhibit gene or protein expression linked to methylmalonic acidemia?,"[63680, 64778, 66747, 66760, 63235]"
8463,Could you identify medications that exhibit synergistic effects when combined with Levosalbutamol in treating the same condition and also possess a broad therapeutic index?,"[14336, 14019, 14024, 14028, 14030, 14320, 14034, 14269, 15166]"
9639,Which biological mechanisms are involved in the interaction with genes or proteins linked to the phenomenon of delayed cranial suture closure?,[102767]
8507,Identify a medication that blocks DNA replication by targeting genes or proteins associated with the binding of purine nucleotides in the process of synthesizing DNA.,"[15804, 16972, 15805, 14919]"
5931,"Which conditions with no known treatment options are linked to thyroid gland abnormalities and exhibit features such as enlarged head size, excessive body weight, cognitive impairment, and eye disorders?",[27713]
6746,"Which uncommon illnesses that lack approved treatments are linked to atypical platelet shapes and lead to significant bleeding following injuries, surgical procedures, or labor and delivery?","[27220, 27262]"
4717,Identify the SLC26 anion transporter family isoform encoding gene linked to spermatogenic failure.,[33822]
2680,Which genes and proteins are involved in both colorectal cancer etiology and metalloaminopeptidase enzyme interactions?,[14007]
7960,Identify proteins or genes that interact with PRPH2 and are concurrently linked to a mutual disease condition.,[8844]
6622,Is there a shared genetic or protein transporter between Ticagrelor and any pharmacological agents that activate both alpha and beta-adrenergic receptors?,"[14336, 14249, 14315]"
7478,Which anatomical structures lack expression of genes or proteins that play a role in the interaction with chorio-allantoic fusion?,"[63235, 64876, 66747]"
5855,"Which pharmaceutical agents not only act as HIV integrase inhibitors but also demonstrate a synergistic effect when used in combination with Indinavir, and are prescribed for the management of HIV/AIDS, similarly to Indinavir’s indications?","[15619, 15664, 15859, 15846]"
7804,Is there a medication possessing both antiarrhythmic properties and mild beta-blocker effects that exhibits a synergistic effect when used in conjunction with a treatment known to induce Myelocystocele as an adverse reaction?,"[14368, 14308, 15245, 15150, 14258, 14302]"
5429,What are the solid-state drugs that target the MBL2 gene known for their interactions?,"[20068, 20069, 20070, 20071, 20072, 20073, 18044]"
1993,"Hello, I've been diagnosed with vulvovaginal candidiasis and am in search of an effective treatment to alleviate the discomfort. Could you recommend any antifungal medications that are specifically designed to combat yeast infections by targeting the fungal cell walls?","[15488, 15084, 20558, 20238, 14300]"
4673,"What potential diseases could I have that are associated with papillary adenocarcinoma, characterized by finger-like growths with tubular or cubic cells on slender, fibrous stalks?","[97314, 39843]"
2448,"What types of parasitic diseases, particularly helminth infections, could be suggested by the presence of parasites in animals?",[39756]
5785,Identify genes or proteins that interact with ARL2BP and are also implicated in the same disease.,[7374]
3612,"Can you help me find genes or proteins that act as binding partners in molecular interactions and are also involved in the Tachykinin receptor pathway, particularly those with a high affinity for tachykinins?",[12937]
10500,Which anatomical structures lack the expression of genes or proteins linked to Infantile Hypercalcemia?,"[63824, 64876, 63921, 64799, 65557, 66747, 68030, 68729]"
